company,city,state,latitude,longitude,text,color
ThermaFoam,Anaheim,CA,33.8365932,-117.9143012,"ThermaFoam<br>Anaheim, CA",#54C7C9
Robin II,Hillsboro,TX,32.0109886,-97.1300061,"Robin II<br>Hillsboro, TX",#9ACDBC
Foam Pack Industries,Markesan,WI,43.7072047,-88.9901122,"Foam Pack Industries<br>Markesan, WI",#C2E2C6
Clyde Tool & Die,Springfield,NJ,40.7016937,-74.3222146,"Clyde Tool & Die<br>Springfield, NJ",#4DDC4C
DiversiFoam Products,Clyde,OH,41.30422009999999,-82.975192,"DiversiFoam Products<br>Clyde, OH",#A17F07
Beaver Plastics,Rockford,MN,45.0872861,-93.7415093,"Beaver Plastics<br>Rockford, MN",#438466
Aqua-Pak Industries Ltd,Watertown,SD,44.8994088,-97.1150732,"Aqua-Pak Industries Ltd<br>Watertown, SD",#289B3C
Creative Packaging,Shelbyville,KY,38.2120144,-85.2235666,"Creative Packaging<br>Shelbyville, KY",#1CFD74
Creative Packaging,Vineland,NJ,39.4863773,-75.02596369999999,"Creative Packaging<br>Vineland, NJ",#1CFD74
Creative Packaging,Unadilla,GA,32.2617127,-83.7365798,"Creative Packaging<br>Unadilla, GA",#1CFD74
Creative Packaging,Chicago,IL,41.8781136,-87.6297982,"Creative Packaging<br>Chicago, IL",#1CFD74
Creative Packaging,Ft. Worth,TX,32.7554883,-97.3307658,"Creative Packaging<br>Ft. Worth, TX",#1CFD74
Custom Pack,Phoenix,AZ,33.4483771,-112.0740373,"Custom Pack<br>Phoenix, AZ",#665858
Insulated Products Corp (IPC),Eaton,PA,41.5114731,-75.96954649999999,"Insulated Products Corp (IPC)<br>Eaton, PA",#2A449F
Magna LoBoy,Los Angeles,CA,34.0549076,-118.242643,"Magna LoBoy<br>Los Angeles, CA",#422976
Speedling,Fort Walton,FL,30.42007079999999,-86.6170308,"Speedling<br>Fort Walton, FL",#5143D8
Insulfoam LLC,Sun City,FL,27.678254,-82.4787384,"Insulfoam LLC<br>Sun City, FL",#ED18A7
Insulfoam LLC,Tacoma,WA,47.2528768,-122.4442906,"Insulfoam LLC<br>Tacoma, WA",#ED18A7
Insulfoam LLC,Anchorage,AK,61.2175758,-149.8996785,"Insulfoam LLC<br>Anchorage, AK",#ED18A7
Insulfoam LLC,Kent,WA,47.3830671,-122.234771,"Insulfoam LLC<br>Kent, WA",#ED18A7
Insulfoam LLC,Dixon,CA,38.4454641,-121.8232958,"Insulfoam LLC<br>Dixon, CA",#ED18A7
Insulfoam LLC,Chino,CA,34.0122346,-117.688944,"Insulfoam LLC<br>Chino, CA",#ED18A7
Insulfoam LLC,Salt Lake City,UT,40.7607793,-111.8910474,"Insulfoam LLC<br>Salt Lake City, UT",#ED18A7
Insulfoam LLC,Phoenix,AZ,33.4483771,-112.0740373,"Insulfoam LLC<br>Phoenix, AZ",#ED18A7
Insulfoam LLC,Aurora,CO,39.7294319,-104.8319195,"Insulfoam LLC<br>Aurora, CO",#ED18A7
Insulfoam LLC,Mead,NE,41.2286493,-96.489212,"Insulfoam LLC<br>Mead, NE",#ED18A7
Insulfoam LLC,Lakeland,FL,28.0394654,-81.9498042,"Insulfoam LLC<br>Lakeland, FL",#ED18A7
Alleguard - Huntington,Greer,SC,34.9387279,-82.2270568,"Alleguard - Huntington<br>Greer, SC",#60D13B
Alleguard - Huntington,Greenville,MI,43.1775314,-85.2527987,"Alleguard - Huntington<br>Greenville, MI",#60D13B
Alleguard - Huntington,Radford,VA,37.13179239999999,-80.5764477,"Alleguard - Huntington<br>Radford, VA",#60D13B
Alleguard - Huntington,West Brookfield,MA,42.2353463,-72.14116419999999,"Alleguard - Huntington<br>West Brookfield, MA",#60D13B
